Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03 00:00:00-05:00,META,122.81999969482422,126.37000274658203,122.27999877929688,124.73999786376953,35528500,0.0,0.0
2023-01-04 00:00:00-05:00,META,127.37999725341797,129.0500030517578,125.8499984741211,127.37000274658203,32397100,0.0,0.0
2023-01-05 00:00:00-05:00,META,126.12999725341797,128.52000427246094,124.54000091552734,126.94000244140625,25447100,0.0,0.0
2023-01-06 00:00:00-05:00,META,128.97000122070312,130.3300018310547,126.04000091552734,130.02000427246094,27584500,0.0,0.0
2023-01-09 00:00:00-05:00,META,131.16000366210938,132.9499969482422,129.27999877929688,129.47000122070312,26649100,0.0,0.0
2023-01-10 00:00:00-05:00,META,127.2699966430664,133.44000244140625,127.1500015258789,132.99000549316406,28684400,0.0,0.0
2023-01-11 00:00:00-05:00,META,130.9600067138672,133.85000610351562,130.33999633789062,132.88999938964844,25423000,0.0,0.0
2023-01-12 00:00:00-05:00,META,133.44000244140625,137.67999267578125,131.75999450683594,136.7100067138672,30757700,0.0,0.0
2023-01-13 00:00:00-05:00,META,134.97000122070312,137.38999938964844,134.83999633789062,136.97999572753906,22423800,0.0,0.0
2023-01-17 00:00:00-05:00,META,136.17999267578125,136.75,134.25,135.36000061035156,21147600,0.0,0.0
2023-01-18 00:00:00-05:00,META,135.80999755859375,137.25,132.8000030517578,133.02000427246094,20215500,0.0,0.0
2023-01-19 00:00:00-05:00,META,132.49000549316406,137.4499969482422,132.13999938964844,136.14999389648438,28625200,0.0,0.0
2023-01-20 00:00:00-05:00,META,135.88999938964844,139.94000244140625,134.61000061035156,139.3699951171875,28688600,0.0,0.0
2023-01-23 00:00:00-05:00,META,139.2899932861328,143.75999450683594,138.66000366210938,143.27000427246094,27470100,0.0,0.0
2023-01-24 00:00:00-05:00,META,141.69000244140625,145.0,141.36000061035156,143.13999938964844,21970200,0.0,0.0
