Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits
MSFT,241.43260927868877,244.0845124374925,235.7910956780756,237.95632934570312,25740000,0.0,0.0
MSFT,230.70578923078602,231.29178704158187,224.4286290575046,227.54734802246094,50623400,0.0,0.0
MSFT,225.6602345038848,226.00786857280215,220.25709963100408,220.80337524414062,39585600,0.0,0.0
MSFT,221.4887114263254,224.23000123288517,217.86345382611788,223.40562438964844,43613600,0.0,0.0
MSFT,224.9153072916648,229.67285314430194,224.87558504674809,225.5807647705078,27369800,0.0,0.0
MSFT,226.2164173879344,229.74236132652536,225.78933886245014,227.29904174804688,27033900,0.0,0.0
MSFT,229.72251545985426,234.35093776253277,229.5437426143137,234.1721649169922,28669300,0.0,0.0
MSFT,233.66559577305844,238.27414906339413,231.9771200058287,236.89356994628906,27269500,0.0,0.0
MSFT,235.3938057339192,237.74773894153765,233.32790047254585,237.6086883544922,21333300,0.0,0.0
MSFT,236.3572248010763,239.2773021822362,235.48318391001436,238.72109985351562,29831300,0.0,0.0
MSFT,239.93284136836266,240.73734941920688,233.9238403397404,234.2118682861328,30028700,0.0,0.0
MSFT,232.1956379001244,233.9238511242864,229.11664098653628,230.35816955566406,28623000,0.0,0.0
MSFT,233.26832013473367,239.108475366928,232.92068607362572,238.5919952392578,35389800,0.0,0.0
MSFT,239.4660238748905,243.5084328024637,238.02583868618194,240.9359893798828,31934000,0.0,0.0
MSFT,240.8565473943839,242.29671753329526,238.810510694987,240.399658203125,40234400,0.0,0.0
MSFT,232.89089382827808,241.6511267979856,229.33515414245005,238.97935485839844,66526600,0.0,0.0
MSFT,241.99873430943003,246.62715629324873,240.35992271669448,246.3192596435547,33454500,0.0,0.0
MSFT,247.30255669517757,248.1368602310303,245.15719175551834,246.47817993164062,26498900,0.0,0.0
MSFT,242.85291351682199,243.9355379410493,240.55857115894526,241.06512451171875,25867400,0.0,0.0
MSFT,241.80010192890217,246.26960479322707,241.30349049953273,246.13055419921875,26541100,0.0,0.0
MSFT,246.319270253771,253.45060314218173,243.80641762046724,251.03707885742188,31259900,0.0,0.0
MSFT,257.06593604175754,262.8961491112985,255.50656894890705,262.8067626953125,39940400,0.0,0.0
MSFT,257.78105867203635,262.4094806412304,255.3575925712437,256.59912109375,29077300,0.0,0.0
MSFT,255.69530360663978,256.54946074414636,253.05332707802071,255.0298309326172,22518000,0.0,0.0
MSFT,258.76434865798757,266.94849526658015,258.3173862498726,265.7467041015625,50841400,0.0,0.0
MSFT,271.34848559902093,274.88435640099067,264.40583750019556,264.9223327636719,54686000,0.0,0.0
MSFT,271.9444059440675,272.12320909438495,261.0189545242279,261.8334045410156,42375100,0.0,0.0
MSFT,259.75758831188637,262.30023655495006,258.8934892236802,261.31695556640625,25818500,0.0,0.0
MSFT,265.8261788658231,272.73900143412436,265.33947905664934,269.4812316894531,44630900,0.0,0.0
MSFT,270.82208138385295,273.10648176004,267.4550414535347,270.3254699707031,37047900,0.0,0.0
MSFT,267.1690842890624,269.5687505605419,265.03824894923866,268.164794921875,28922400,0.68,0.0
MSFT,262.887486548321,265.5958204399719,260.7765850596338,261.0255126953125,29603600,0.0,0.0
MSFT,258.27737602248203,258.9743551805301,254.90190264790783,256.95306396484375,30000100,0.0,0.0
MSFT,253.38841529656136,254.3940926709817,250.51081242857373,251.586181640625,28397400,0.0,0.0
MSFT,253.0001027744181,253.24903042448383,249.26618802343194,250.43116760253906,22491100,0.0,0.0
MSFT,254.46378972036956,255.73829802890347,249.4055782237905,253.67718505859375,29219100,0.0,0.0
MSFT,248.88781699803096,249.92334929010082,247.03579475810787,248.15098571777344,24990900,0.0,0.0
MSFT,251.37709718854634,251.73555360148166,248.32025844582878,249.0869598388672,21190000,0.0,0.0
MSFT,248.00163859085316,250.41125634343973,247.66308545062427,248.35012817382812,22491000,0.0,0.0
MSFT,249.68438443195134,249.85365341064607,244.7357015375454,245.21365356445312,27565300,0.0,0.0
MSFT,245.4924449067283,250.32163207164277,244.55647453681243,250.0328826904297,24808200,0.0,0.0
MSFT,251.1082375456348,254.52351732386464,250.3116660938989,254.19493103027344,30760100,0.0,0.0
MSFT,255.33005812924978,259.0042326204239,254.8819914044734,255.76817321777344,24109800,0.0,0.0
MSFT,255.20060131290649,256.5846535603125,252.30309516499045,253.05982971191406,21473200,0.0,0.0
MSFT,252.9503085800419,253.44816386910094,249.73416766685514,252.6117706298828,17340200,0.0,0.0
MSFT,254.72268845402786,258.44663630805337,250.50087011552003,251.23770141601562,26653400,0.0,0.0
MSFT,250.0030063763461,251.70566290625584,246.5379379212048,247.523681640625,28333900,0.0,0.0
MSFT,246.3387886429749,256.8037164447645,244.67595381628487,252.83082580566406,33339700,0.0,0.0
MSFT,255.6487072186082,259.9501844829176,254.76252535536,259.67138671875,33620300,0.0,0.0
MSFT,258.8648507920512,265.3369696436687,258.09813418831015,264.3014221191406,46028000,0.0,0.0
MSFT,264.0723794711208,275.3736999919761,262.1506654532622,275.0152587890625,54768800,0.0,0.0
MSFT,277.06641998143397,282.1146492414991,275.1347391349897,278.23138427734375,69527400,0.0,0.0
MSFT,275.791911357041,276.2897666181029,268.6924904724308,271.0622863769531,43466600,0.0,0.0
MSFT,273.7009089727119,273.8203893716609,268.3638848551615,272.6056213378906,34558700,0.0,0.0
MSFT,272.22726394275713,279.83450728824965,271.01249583107756,271.1220397949219,34873300,0.0,0.0
MSFT,276.74779187833235,279.85440392326404,274.019554703148,276.468994140625,36610900,0.0,0.0
