date,ticker,open,high,low,close,volume,dividends,stocksplits
2023-01-03 0:00,AAPL,129.7265313,130.3438925,123.6424877,124.5386658,112117500,0,0
2023-01-04 0:00,AAPL,126.350936,128.1134208,124.5486278,125.8231888,89113600,0,0
2023-01-05 0:00,AAPL,126.5899131,127.2271936,124.2299864,124.4888763,80962700,0,0
2023-01-06 0:00,AAPL,125.4746643,129.7364724,124.3594198,129.0693207,87754700,0,0
2023-01-09 0:00,AAPL,129.915709,132.843221,129.3381712,129.5970612,70790800,0,0
2023-01-10 0:00,AAPL,129.7066018,130.7023535,127.575694,130.1746063,63896200,0,0
2023-01-11 0:00,AAPL,130.6923931,132.9427862,129.905756,132.9228821,69458900,0,0
2023-01-12 0:00,AAPL,133.3112357,133.689611,130.8815992,132.8432312,71379600,0,0
2023-01-13 0:00,AAPL,131.469102,134.3468239,131.1006787,134.1875,57809700,0,0
2023-01-17 0:00,AAPL,134.2572028,136.7067435,133.5601797,135.3624878,63646600,0,0
2023-01-18 0:00,AAPL,136.2387504,138.0211392,134.4563464,134.6355896,69672800,0,0
2023-01-19 0:00,AAPL,133.5103809,135.6711601,133.2017003,134.6953278,58280400,0,0
2023-01-20 0:00,AAPL,134.7052782,137.4336431,133.6497839,137.2842712,80223600,0,0
2023-01-23 0:00,AAPL,137.5332105,142.7111311,137.3141439,140.5105133,81760300,0,0
2023-01-24 0:00,AAPL,139.7139143,142.5518127,139.7039623,141.9244843,66435100,0,0
2023-01-25 0:00,AAPL,140.2914591,141.8249101,138.2202937,141.2573395,65799300,0,0
2023-01-26 0:00,AAPL,142.5617669,143.6371805,141.297158,143.3484192,54105100,0,0
2023-01-27 0:00,AAPL,142.551822,146.6045236,142.47216,145.3100433,70555800,0,0
2023-01-30 0:00,AAPL,144.344182,144.9316719,142.2431451,142.3925018,64015300,0,0
2023-01-31 0:00,AAPL,142.0937604,143.7267926,141.6755466,143.677002,65874500,0,0
2023-02-01 0:00,AAPL,143.3583753,145.9871592,140.7196394,144.8121643,77663600,0,0
2023-02-02 0:00,AAPL,148.267434,150.5377468,147.5405394,150.1792908,118339000,0,0
2023-02-03 0:00,AAPL,147.4011136,156.7113975,147.2019663,153.8436279,154357300,0,0
2023-02-06 0:00,AAPL,151.9218311,152.4495782,150.1394272,151.0853882,69858300,0,0
2023-02-07 0:00,AAPL,150.0000225,154.5705187,150.0000225,153.992981,83322600,0,0
2023-02-08 0:00,AAPL,153.2262617,153.9232848,150.5277682,151.2745819,64120100,0,0
2023-02-09 0:00,AAPL,153.1266907,153.6743571,149.7809645,150.2290497,56007100,0,0
2023-02-10 0:00,AAPL,149.0522783,150.9271393,148.8129276,150.5980377,57450700,0.23,0
2023-02-13 0:00,AAPL,150.538215,153.8391831,150.5082981,153.4303131,62199000,0,0
2023-02-14 0:00,AAPL,151.7050183,153.3505263,150.448461,152.782074,61707600,0,0
2023-02-15 0:00,AAPL,152.6923201,155.0757997,152.4629518,154.9062653,65573800,0,0
2023-02-16 0:00,AAPL,153.0912134,155.9035276,152.9316614,153.2906799,68167900,0,0
2023-02-17 0:00,AAPL,151.9343987,152.5826195,150.4384907,152.1338501,59144100,0,0
2023-02-21 0:00,AAPL,149.7902603,150.8872657,148.00515,148.0749512,58867200,0,0
2023-02-22 0:00,AAPL,148.4638695,149.540925,146.758543,148.5037689,51011300,0,0
2023-02-23 0:00,AAPL,149.6805518,149.9298698,146.8383357,148.9924316,48394200,0,0
2023-02-24 0:00,AAPL,146.7086867,146.7884702,145.3224792,146.3097839,55469600,0,0
2023-02-27 0:00,AAPL,147.3070609,148.7630696,147.0477604,147.5164795,44998500,0,0
2023-02-28 0:00,AAPL,146.648855,148.673316,146.4294539,147.0078735,50547000,0,0
2023-03-01 0:00,AAPL,146.4294626,146.8283653,144.6144201,144.9136047,55479000,0,0
2023-03-02 0:00,AAPL,143.986153,146.3097989,143.5074515,145.5119781,52238100,0,0
2023-03-03 0:00,AAPL,147.6361473,150.6977798,146.9280927,150.6179962,70732300,0,0
2023-03-06 0:00,AAPL,153.3704705,155.8736332,153.0413841,153.4103699,87558000,0,0
2023-03-07 0:00,AAPL,153.2807093,153.6098109,150.7177281,151.1864471,56182000,0,0
2023-03-08 0:00,AAPL,152.3931385,153.0513417,151.4158162,152.4529724,47204800,0,0
2023-03-09 0:00,AAPL,153.141083,154.1184052,149.8201654,150.179184,53833600,0,0
2023-03-10 0:00,AAPL,149.8002363,150.5282406,147.2073229,148.0948944,68572400,0,0
2023-03-13 0:00,AAPL,147.4067773,152.722239,147.2970767,150.0595245,84457100,0,0
2023-03-14 0:00,AAPL,150.8673126,152.9815245,149.6905389,152.1737366,73695900,0,0
2023-03-15 0:00,AAPL,150.7775545,152.8319323,149.5110148,152.5726471,77167900,0,0
2023-03-16 0:00,AAPL,151.7449143,156.033187,151.2263286,155.4248505,76161100,0,0
2023-03-17 0:00,AAPL,155.6542193,156.3124225,153.8591266,154.5771637,98944600,0,0
2023-03-20 0:00,AAPL,154.6469811,157.3894792,153.7294775,156.9706116,73641400,0,0
2023-03-21 0:00,AAPL,156.8908448,158.9651573,156.1129586,158.8454895,73938300,0,0
2023-03-22 0:00,AAPL,158.8654357,161.6976845,157.3794949,157.3994446,75701800,0,0
2023-03-23 0:00,AAPL,158.3967266,161.1093079,157.2498546,158.4964447,67622100,0,0
2023-03-24 0:00,AAPL,158.4266282,159.9025865,157.419389,159.8128357,59196500,0,0
2023-03-27 0:00,AAPL,159.5036807,160.3314182,157.4393204,157.8482056,52390300,0,0
2023-03-28 0:00,AAPL,157.5390593,158.057645,155.5544825,157.2199249,45992200,0,0
2023-03-29 0:00,AAPL,158.935231,160.6106558,158.9152965,160.3314209,51305700,0,0
2023-03-30 0:00,AAPL,161.0893461,162.0267843,160.8300609,161.9170837,49501700,0,0
2023-03-31 0:00,AAPL,161.9968689,164.5498828,161.4683159,164.4501495,68749800,0,0
2023-04-03 0:00,AAPL,163.8218793,165.8363578,163.7720127,165.7166901,56976200,0,0
2023-04-04 0:00,AAPL,166.145532,166.3848676,164.6595911,165.1781769,46278300,0,0
2023-04-05 0:00,AAPL,164.2906005,164.5997524,161.3586183,163.3132629,51511700,0,0
2023-04-06 0:00,AAPL,161.9869029,164.5100154,161.5580832,164.2108307,45390100,0,0
2023-04-10 0:00,AAPL,160.9796456,161.5879822,159.6433048,161.5879822,47716900,0,0
2023-04-11 0:00,AAPL,161.9071181,161.9170853,160.072126,160.3613434,47644200,0,0
2023-04-12 0:00,AAPL,160.7802089,161.6179138,159.3441347,159.663269,50133100,0,0
2023-04-13 0:00,AAPL,161.1890809,165.3477034,160.9796471,165.1083527,68445600,0,0
2023-04-14 0:00,AAPL,164.1410041,165.8662957,163.3731156,164.7593231,49386500,0,0
2023-04-17 0:00,AAPL,164.6396336,164.9388183,163.5825277,164.7792511,41516200,0,0
2023-04-18 0:00,AAPL,165.6468986,166.9533226,165.198114,166.0158844,49923000,0,0
